Company Name,URL,Category,Funding (millions USD),News
Node-RED,nodered.org,IoT/Industrial automation,Open source,
Noteable,noteable.io,Business Intelligence,25.1,https://venturebeat.com/2021/11/16/noteable-expands-analytics-tools-for-programming-with-new-21m/
Notion,notion.so,Workflow automation,343,
ObviouslyAI,obviously.ai,Machine Learning,4.6,
Octane AI,octaneai.com,Marketing/E-Commerce/Design Tools,5.8,
Oracle,oracle.com,Enterprise Application Development,Public,https://www.techradar.com/news/oracle-wants-to-drastically-simplify-app-development-with-new-low-code-service
Outgrows,outgrow.co,Marketing/E-Commerce/Design Tools,NI,
OutSystems,outsystems.com,Enterprise Application Development,572.1,
Parabola,parabola.io,Business Intelligence,10.2,
Pega,pega.com,Workflow automation,NI,
Pipedrive,pipedrive.com,Customer Service/CRM,50,
Pipefy,pipefy.com,Workflow automation,75,https://techcrunch.com/2021/10/26/softbank-bets-big-on-pipefy-which-just-raised-75m-for-its-low-code-workflow-management-tool/
Pneumatic,pneumatic.app,Workflow automation,NI,
Pory.io,pory.io,Web App Development,NI,
Prescient Devices,prescientdevices.com,IoT/Industrial automation,2,
ProntoForms,prontoforms.com,Marketing/E-Commerce/Design Tools,21.6,
Quickbase,quickbase.com,Web App Development,90,
Quixy,quixy.com,Web App Development,NI,
Reflect,reflect.run,Software Development Tools,1.9,https://venturebeat.com/2021/01/22/reflect-brings-automated-no-code-web-testing-to-the-cloud/
Rehive,rehive.com,Web App Development,NI,
Retool,retool.com,Web App Development,75,
Runway ML,runwayml.com,Machine Learning,10.5,
Salesforce Lightning,salesforce.com/campaign/lightning,Customer Service/CRM,Public,
SAP Business Objects,sap.com/products/bi-platform.html,Business Intelligence,NI,
ServiceNow,servicenow.com,Enterprise Application Development,??,https://aithority.com/it-and-devops/cloud/servicenow-named-a-leader-in-low-code-development-platforms-for-professional-developers-by-independent-research-firm/
Sheet2site,sheet2site.com,Web App Development,NI,
Shopify,shopify.com,Marketing/E-Commerce/Design Tools,122.3,
Sitecore,sitecore.com,Marketing/E-Commerce/Design Tools,1200,
Skyvia,skyvia.com,Business Intelligence,NI,
SmartSheet,smartsheet.com,Enterprise Application Development,152,
Softr,softr.io,Web App Development,2.2,https://techcrunch.com/2021/01/21/softr/
Squarespace,squarespace.com,Web App Development,578.5,
Squark,squarkai.com,Machine Learning,1.2,
Stackby,stackby.com,Workflow automation,NI,
Syncari,syncari.com,Workflow automation,23.8,
Tableau (Salesforce),tableau.com,Business Intelligence,15,
Thunkable,thunkable.com,Web App Development,3.4,
Toca.io,toca.io,Enterprise Application Development,4,
Torq,torq.io/company/,Workflow automation,78,
Totango,totango.com,Customer Service/CRM,146.6,
TrackVia,trackvia.com,Workflow automation,21.2,
Tray,tray.io,Workflow automation,109.1,
Tribe,tribe.so,Marketing/E-Commerce/Design Tools,12.3,
Truesource,truesource.io,Web App Development,NI,
Typeform,typeform.com,Marketing/E-Commerce/Design Tools,52.3,
UI Bakery,uibakery.io,Software Development Tools,NI,
UIPath,uipath.com,Machine Learning,2000,
Unqork,unqork.com,Enterprise Application Development,365.2,https://www.prnewswire.com/news-releases/unqork-announces-207-million-in-series-c-funding-raising-company-valuation-to-2-billion-301146685.html
Upboard,upboard.io,Workflow automation,NI,
Virtuoso,virtuoso.qa/,Software Development Tools,16.6,https://venturebeat.com/2021/11/15/codeless-test-automation-platform-virtuoso-raises-13m/
Visual Lansa,lansa.com/products/visual-lansa/,Web App Development,NI,
Webflow,webflow.com,Web App Development,334.9,https://siliconangle.com/2022/03/16/no-code-website-development-startup-webflow-raises-120m-4b-valuation/
WEM,wem.io,Enterprise Application Development,NI,
What If,pair-code.github.io/what-if-tool,Machine Learning,NI,
Wix,wix.com,Web App Development,58.5,
Wordpress,wordpress.com,Web App Development,NI,
Workato,workato.com,Workflow automation,215,
Wso2,wso2.com/,Enterprise Application Development,130.5,
Xano,xano.com/technology,Software Development Tools,0.4,
Xplenty,xplenty.com,Business Intelligence,7,
Y42,y42.com,Workflow automation,33.9,https://venturebeat.com/2021/10/25/y42-a-full-stack-data-platform-for-non-coders-raises-31m/
Ycode,ycode.com,Web App Development,NI,
Zapier,zapier.com,Workflow automation,1.4,https://sacra.com/research/zapier-netflix-productivity/
Zeroqote,zeroqode.com,Web App Development,NI,
Zoho,zoho.com/es-xl,Customer Service/CRM,NI,
Zudy Software,zudy.com,Enterprise Application Development,7.5,
